"Regio's";"Woningtype";"Perioden";"Beginstand woningvoorraad (aantal)"
"Limburg (PV)";"terraced house";"2023";"  149014"
"Limburg (PV)";"terraced house";"2024";"  149145"
"Limburg (PV)";"Unknown single-family home";"2021";"     137"
"Limburg (PV)";"Unknown single-family home";"2022";"     133"
"Limburg (PV)";"Unknown single-family home";"2023";"     137"
"Limburg (PV)";"Unknown single-family home";"2024";"     158"
"Amsterdam";"Eengezinswoningen totaal";"2021";"   54380"
"Amsterdam";"Eengezinswoningen totaal";"2022";"   59625"
"Amsterdam";"Eengezinswoningen totaal";"2023";"   60011"
"Amsterdam";"Eengezinswoningen totaal";"2024";"   60434"
"Amsterdam";"detached house";"2021";"    2497"
"Amsterdam";"detached house";"2022";"    2818"
"Amsterdam";"detached house";"2023";"    2874"
"Amsterdam";"detached house";"2024";"    2891"
"Amsterdam";"semi-detached house";"2021";"    2395"
"Amsterdam";"semi-detached house";"2022";"    2757"
"Amsterdam";"semi-detached house";"2023";"    2855"
"Amsterdam";"semi-detached house";"2024";"    2946"
"Amsterdam";"corner house";"2021";"    9413"
"Amsterdam";"corner house";"2022";"   10545"
"Amsterdam";"corner house";"2023";"   10645"
"Amsterdam";"corner house";"2024";"   10751"
"Amsterdam";"terraced house";"2021";"   40039"
"Amsterdam";"terraced house";"2022";"   43400"
"Amsterdam";"terraced house";"2023";"   43531"
"Amsterdam";"terraced house";"2024";"   43739"
"Amsterdam";"Unknown single-family home";"2021";"      36"
"Amsterdam";"Unknown single-family home";"2022";"     105"
"Amsterdam";"Unknown single-family home";"2023";"     106"
"Amsterdam";"Unknown single-family home";"2024";"     107"
"'s-Gravenhage (gemeente)";"Eengezinswoningen totaal";"2021";"   56307"
"'s-Gravenhage (gemeente)";"Eengezinswoningen totaal";"2022";"   56735"
"'s-Gravenhage (gemeente)";"Eengezinswoningen totaal";"2023";"   57433"
"'s-Gravenhage (gemeente)";"Eengezinswoningen totaal";"2024";"   57685"
"'s-Gravenhage (gemeente)";"detached house";"2021";"    2313"
"'s-Gravenhage (gemeente)";"detached house";"2022";"    2342"
"'s-Gravenhage (gemeente)";"detached house";"2023";"    2422"
"'s-Gravenhage (gemeente)";"detached house";"2024";"    2430"
"'s-Gravenhage (gemeente)";"semi-detached house";"2021";"    3063"
"'s-Gravenhage (gemeente)";"semi-detached house";"2022";"    3155"
"'s-Gravenhage (gemeente)";"semi-detached house";"2023";"    3185"
"'s-Gravenhage (gemeente)";"semi-detached house";"2024";"    3215"
"'s-Gravenhage (gemeente)";"corner house";"2021";"    9259"
"'s-Gravenhage (gemeente)";"corner house";"2022";"    9335"
"'s-Gravenhage (gemeente)";"corner house";"2023";"    9469"
"'s-Gravenhage (gemeente)";"corner house";"2024";"    9522"
"'s-Gravenhage (gemeente)";"terraced house";"2021";"   41662"
"'s-Gravenhage (gemeente)";"terraced house";"2022";"   41893"
"'s-Gravenhage (gemeente)";"terraced house";"2023";"   42347"
"'s-Gravenhage (gemeente)";"terraced house";"2024";"   42507"
"'s-Gravenhage (gemeente)";"Unknown single-family home";"2021";"      10"
"'s-Gravenhage (gemeente)";"Unknown single-family home";"2022";"      10"
"'s-Gravenhage (gemeente)";"Unknown single-family home";"2023";"      10"
"'s-Gravenhage (gemeente)";"Unknown single-family home";"2024";"      11"
"Rotterdam";"Eengezinswoningen totaal";"2021";"   81205"
"Rotterdam";"Eengezinswoningen totaal";"2022";"   81319"
"Rotterdam";"Eengezinswoningen totaal";"2023";"   81532"
"Rotterdam";"Eengezinswoningen totaal";"2024";"   82682"
"Rotterdam";"detached house";"2021";"    4317"
"Rotterdam";"detached house";"2022";"    4332"
"Rotterdam";"detached house";"2023";"    4372"
"Rotterdam";"detached house";"2024";"    4441"
"Rotterdam";"semi-detached house";"2021";"    3784"
"Rotterdam";"semi-detached house";"2022";"    3787"
"Rotterdam";"semi-detached house";"2023";"    3821"
"Rotterdam";"semi-detached house";"2024";"    3910"
"Rotterdam";"corner house";"2021";"   17593"
"Rotterdam";"corner house";"2022";"   17610"
"Rotterdam";"corner house";"2023";"   17641"
"Rotterdam";"corner house";"2024";"   17877"
"Rotterdam";"terraced house";"2021";"   55446"
"Rotterdam";"terraced house";"2022";"   55528"
"Rotterdam";"terraced house";"2023";"   55634"
"Rotterdam";"terraced house";"2024";"   56389"
"Rotterdam";"Unknown single-family home";"2021";"      65"
"Rotterdam";"Unknown single-family home";"2022";"      62"
"Rotterdam";"Unknown single-family home";"2023";"      64"
"Rotterdam";"Unknown single-family home";"2024";"      65"
"Utrecht (gemeente)";"Eengezinswoningen totaal";"2021";"   68405"
"Utrecht (gemeente)";"Eengezinswoningen totaal";"2022";"   69117"
"Utrecht (gemeente)";"Eengezinswoningen totaal";"2023";"   69285"
"Utrecht (gemeente)";"Eengezinswoningen totaal";"2024";"   69471"
"Utrecht (gemeente)";"detached house";"2021";"    2569"
"Utrecht (gemeente)";"detached house";"2022";"    2613"
"Utrecht (gemeente)";"detached house";"2023";"    2629"
"Utrecht (gemeente)";"detached house";"2024";"    2638"
"Utrecht (gemeente)";"semi-detached house";"2021";"    2680"
"Utrecht (gemeente)";"semi-detached house";"2022";"    2755"
"Utrecht (gemeente)";"semi-detached house";"2023";"    2734"
"Utrecht (gemeente)";"semi-detached house";"2024";"    2735"
"Utrecht (gemeente)";"corner house";"2021";"   11767"
"Utrecht (gemeente)";"corner house";"2022";"   11924"
"Utrecht (gemeente)";"corner house";"2023";"   11976"
"Utrecht (gemeente)";"corner house";"2024";"   12019"
"Utrecht (gemeente)";"terraced house";"2021";"   51370"
"Utrecht (gemeente)";"terraced house";"2022";"   51804"
"Utrecht (gemeente)";"terraced house";"2023";"   51927"
"Utrecht (gemeente)";"terraced house";"2024";"   52058"
"Utrecht (gemeente)";"Unknown single-family home";"2021";"      19"
"Utrecht (gemeente)";"Unknown single-family home";"2022";"      21"
"Utrecht (gemeente)";"Unknown single-family home";"2023";"      19"
"Utrecht (gemeente)";"Unknown single-family home";"2024";"      21"
